Month-Year,Total Casualties
2016-11,9.062541349
2016-12,8.087813699
2017-01,8.47461592
2017-02,7.435976911
2017-03,8.216125806
2017-04,7.65060558
2017-05,8.313205804
2017-06,8.59333423
2017-07,8.920833017
2017-08,8.18980894
2017-09,8.492745317
2017-10,8.53017375
2017-11,9.078149398
2017-12,8.104425327
2018-01,8.085456142
2018-02,7.475233037
2018-03,7.206236729
2018-04,7.483327833
2018-05,9.120344714
2018-06,8.977129087
2018-07,9.165800108
2018-08,8.091682908
2018-09,8.548104884
2018-10,8.818346544
2018-11,8.91735213
2018-12,8.110985884
2019-01,7.876180154
2019-02,7.407383225
2019-03,7.92253751
2019-04,7.734496402
2019-05,8.3169015
2019-06,8.459238172
2019-07,8.871231016
2019-08,8.399169485
2019-09,8.653155565
2019-10,8.714530093
2019-11,9.195079591
2019-12,8.450097285
2020-01,10.67535299
2020-02,9.622439092
2020-03,7.174003322
2020-04,3.379360465
2020-05,5.994774363
2020-06,7.385970377
2020-07,8.977886213
2020-08,9.9884067
2020-09,10.10607004
2020-10,9.62157392
2020-11,8.22172619
2020-12,8.852436323
2021-01,5.397436997
2021-02,5.079986584
2021-03,6.595480816
2021-04,8.302849254
2021-05,9.13508412
2021-06,9.527412272
2021-07,9.67716775
2021-08,8.841812977
2021-09,9.684187538
2021-10,9.585130529
2021-11,9.79338424
2021-12,8.380066922
2022-01,8.531886625
2022-02,7.230587541
2022-03,8.155447298
2022-04,7.535429584
2022-05,8.602007676
2022-06,8.729701801
2022-07,8.824918807
2022-08,8.660318866
2022-09,8.277236492
2022-10,8.786536758
2022-11,8.897992324
2022-12,7.767936227
2023-01,8.29090745
2023-02,7.144844597
2023-03,7.781044842
2023-04,7.511073344
2023-05,8.772193688
2023-06,9.382825601
2023-07,8.955684066
2023-08,8.254058973
2023-09,8.583439241
2023-10,8.64660806
2023-11,8.640591982
2023-12,8.036728156
