date,value
2015-10-01,16382
2015-11-01,16209
2015-12-01,15444
2016-01-01,15387
2016-02-01,14083
2016-03-01,14375
2016-04-01,14129
2016-05-01,15283
2016-06-01,14893
2016-07-01,15850
2016-08-01,15514
2016-09-01,15198
2016-10-01,15564
2016-11-01,16438
2016-12-01,14670
2017-01-01,14491
2017-02-01,12715
2017-03-01,14049
2017-04-01,13082
2017-05-01,14215
2017-06-01,14694
2017-07-01,15254
2017-08-01,14004
2017-09-01,14522
2017-10-01,14586
2017-11-01,15523
2017-12-01,13858
2018-01-01,12985
2018-02-01,12005
2018-03-01,11573
2018-04-01,12018
2018-05-01,14647
2018-06-01,14417
2018-07-01,14720
2018-08-01,12995
2018-09-01,13728
2018-10-01,14162
2018-11-01,14321
2018-12-01,13026
2019-01-01,12063
2019-02-01,11345
2019-03-01,12134
2019-04-01,11846
2019-05-01,12738
2019-06-01,12956
2019-07-01,13587
2019-08-01,12864
2019-09-01,13253
2019-10-01,13347
2019-11-01,14083
2019-12-01,12942
2020-01-01,12339
2020-02-01,11122
2020-03-01,8292
2020-04-01,3906
2020-05-01,6929
2020-06-01,8537
2020-07-01,10377
2020-08-01,11545
2020-09-01,11681
2020-10-01,11121
2020-11-01,9503
2020-12-01,10232
2021-01-01,6920
2021-02-01,6513
2021-03-01,8456
2021-04-01,10645
2021-05-01,11712
2021-06-01,12215
2021-07-01,12407
2021-08-01,11336
2021-09-01,12416
2021-10-01,12289
2021-11-01,12556
2021-12-01,10744
2022-01-01,11559
2022-02-01,9796
2022-03-01,11049
2022-04-01,10209
2022-05-01,11654
2022-06-01,11827
2022-07-01,11956
2022-08-01,11733
2022-09-01,11214
2022-10-01,11904
2022-11-01,12055
2022-12-01,10524
2023-01-01,11025
2023-02-01,9501
2023-03-01,10347
2023-04-01,9988
2023-05-01,11665
2023-06-01,12477
2023-07-01,11909
2023-08-01,10976
2023-09-01,11414
2023-10-01,11498
2023-11-01,11490
2023-12-01,10687
